"","Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation"
"71",6176,6.79,27.48,2.19,0.53,3.75,2.31,1.34,7.47,0.03,0.15,7.91,161.46,10.42,101.53,66.08,105.41,7.77,44.31,129.55,24.63,2,"Utica FM"
"72",6176.6,6.61,27.12,2.09,0.001,3.79,2.33,1.43,7.24,0.03,0.12,9.95,10,11.04,119.39,63.75,98.29,10.36,45.2,108.14,28.25,1,"Utica FM"
"73",6177,7.26,28.52,2.13,0.44,4.43,3.28,1.27,7.31,0.03,0.11,15.66,149.43,12.195,122.83,55.89,89.11,9.16,45.09,128.28,39.96,2,"Utica FM"
"74",6177.6,6.36,25.78,1.92,0.38,3.47,1.99,0.95,9.98,0.05,0.14,8.05,150.76,13.35,113.72,59.12,159.48,10.01,40.11,128.31,23.8,2,"Utica FM"
"75",6178,7.64,29.22,2.3,0.001,3.47,1.8,1.72,7.21,0.03,0.11,7,10,18.83,104.43,61.21,113.28,20.38,46.23,110.05,22.11,1,"Utica FM"
"76",6178.6,7.94,30.78,2.38,0.46,3.58,2.33,1.88,5.82,0.03,0.1,8.38,169.32,13.76,95.59,57.66,94.54,8.15,45.62,126.6,26.08,2,"Utica FM"
"77",6179,6.63,28.36,2.17,0.001,4.2,2.97,0.82,6.27,0.03,0.06,9.07,10,11.46,113.02,56.83,113.51,8.99,44.23,116.26,39.39,1,"Utica FM"
"78",6179.6,7.07,29.83,2.08,0.001,3.75,2.59,1.23,7.07,0.04,0.08,11.29,10,12.605,110.82,81.85,121.92,7.48,104.6,153.95,28.87,2,"Utica FM"
"79",6180,6.39,28.07,2.01,0.001,3.61,2.2,0.71,8.72,0.04,0.09,8.78,10,13.1775,129.32,46.68,123.78,6.03,102.66,134.51,23.15,2,"Utica FM"
"80",6180.6,6.73,26.51,1.97,0.39,3.36,2.01,1.33,10.43,0.05,0.13,7.88,138.5,13.75,118.08,59.1,119.63,7.93,40.03,137.26,22.56,2,"Utica FM"
"81",6181,6.77,26.85,2.15,0.42,3.87,2.96,1.14,8.51,0.04,0.13,7.34,169.41,12.81,131.32,44.75,97.64,9.58,44.97,126.55,27.77,2,"Utica FM"
"82",6181.6,5.61,24.69,1.84,0.001,3.39,2.08,0.43,11.56,0.04,0.02,6.24,10,13,101.36,60.89,103.84,24.4,38.35,101.52,22.12,4,"Utica FM"
"83",6182,5.04,24.42,1.71,0.49,3.35,1.93,0.64,11.26,0.05,0.02,6.48,117.5,13.19,113.9,72.21,133.02,20.19,35.15,162.77,28.85,1,"Utica FM"
"84",6182.6,5.72,25.46,2.01,0.001,4.03,2.48,0.84,8.78,0.04,0.02,6.87,10,14.68,112.49,81.74,129.21,7.47,103.39,128.31,30.65,2,"Utica FM"
"85",6183,5.56,24.81,1.97,0.4,3.33,1.59,1.02,10.09,0.05,0.08,1.5,135.05,15.425,106.04,45.68,75.42,9.86,41.34,133.33,16.92,1,"Utica FM"
"86",6183.6,5.74,24.91,1.98,0.001,3.25,1.69,0.52,10.75,0.05,0.1,6.61,10,15.7975,92.89,59.68,68.79,7.38,96.46,131.33,17.75,2,"Utica FM"
"87",6184,5.4,21.61,1.7,2.62,3.22,1.89,0.96,10.76,0.05,0.02,4.14,115.92,16.17,97.76,54.66,74.19,9.1,38.22,116.6,29.44,1,"Utica FM"
"88",6184.6,5.83,23.21,1.83,0.001,3.86,2.49,1.26,12.26,0.05,0.04,6.6,10,15.16,109.96,58.48,84.93,9.81,92.13,122.69,27.2,2,"Utica FM"
"89",6185,5.76,23.34,1.85,0.001,3.68,2.41,1.09,11.73,0.05,0.04,1.5,10,14.655,102.51,40.05,70.68,6.18,94.36,130.9,21.91,1,"Utica FM"
"90",6185.6,5.72,24.14,1.93,0.39,3.59,1.92,1.21,11.14,0.05,0.03,1.5,126.97,14.15,89.78,51.48,82.74,9.63,39.11,141.63,19.4,1,"Utica FM"
