"DEPT","MMK","GR","TENS","CALI","BHVT","AHVT","LLDC","LLSC","MSFL","DPHI","NPHI","RHOB","DRHO","PE","LLS","LLD","CLLD","LATITUDE","LOGITUDE"
2686.5,0,20.7909,4026.9424,8.5289,979.8452,414.2747,1731.4193,1247.5592,577.5629,2.4991,0.3193,2.6673,-0.0015,4.0318,1241.731,1959.2925,0.5104,"41.12738","-81.056164"
2686.75,0,23.5208,4036.2075,8.512,979.746,414.2423,1647.5511,1209.3412,586.8855,2.0912,0.4017,2.6742,-0.0011,4.1491,1204.3942,1864.8162,0.5362,"41.12738","-81.056164"
2687,0,26.6131,4044.2883,8.5293,979.6472,414.2103,1549.6794,1188.1284,542.7927,1.5625,0.4304,2.6833,0,4.2925,1182.5619,1753.6244,0.5702,"41.12738","-81.056164"
2687.25,0,29.0946,4031.2908,8.5279,979.548,414.1779,1501.8145,1246.3119,587.319,1.0859,0.5297,2.6914,0.0014,4.4448,1240.5347,1699.4937,0.5884,"41.12738","-81.056164"
2687.5,0,30.15,4017.6001,8.5281,979.4488,414.1456,1517.5466,1292.2062,485.2497,0.6051,0.6047,2.6997,0.0033,4.5267,1286.2076,1717.2921,0.5823,"41.12738","-81.056164"
2687.75,0,29.0317,4018.6282,8.5201,979.3496,414.1133,1539.3204,1338.6222,387.9643,0.4628,0.6615,2.7021,0.0049,4.5648,1332.7758,1742.1217,0.574,"41.12738","-81.056164"
2688,0,26.7096,4006.0549,8.5023,979.2506,414.0811,1563.3912,1429.7394,370.4696,0.4238,0.7125,2.7028,0.0058,4.5735,1424.3727,1769.7944,0.565,"41.12738","-81.056164"
2688.25,0,23.9569,4026.1162,8.4831,979.152,414.0493,1496.7271,1309.4476,375.4951,0.4198,0.8122,2.7028,0.0064,4.5642,1305.3953,1694.7714,0.5901,"41.12738","-81.056164"
2688.5,0,22.0382,3991.7947,8.4845,979.0539,414.018,1381.3676,1246.8218,372.5098,0.466,0.9172,2.702,0.0063,4.5925,1242.9031,1564.1178,0.6393,"41.12738","-81.056164"
2688.75,0,21.4655,4013.8445,8.4964,978.9557,413.9867,1194.7975,1144.5323,406.147,0.5401,0.9536,2.7008,0.0057,4.6503,1140.4685,1352.6466,0.7393,"41.12738","-81.056164"
2689,0,21.279,4019.8679,8.5066,978.8573,413.955,945.9499,976.9107,337.5182,0.615,0.8314,2.6995,0.0048,4.7066,973.0963,1070.7727,0.9339,"41.12738","-81.056164"
2689.25,0,21.6206,4018.1587,8.5248,978.7586,413.9232,752.6746,795.5933,257.3944,0.7206,0.8405,2.6977,0.0033,4.7594,791.9908,851.7831,1.174,"41.12738","-81.056164"
