"","Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation"
"125",7845.6,8.06,23.13,2.56,0.001,3.5,1.01,0.74,9.71,0.03,0.02,1.5,10,2,15,7.5,7.5,19.2899866485596,51.9,107.88,5,3,"Utica FM"
"126",7845,9.39,25.95,2.89,0.001,3.81,1.04,1,6.05,0.02,0.02,1.5,10,2,15,7.5,7.5,19.2899933242798,60.4,120.22,5,3,"Utica FM"
"127",7845.6,9.73,26.1,3.22,0.001,3.6,0.95,1.24,4.8,0.02,0.02,1.5,10,2,15,7.5,125.17,19.29,63.31,157.54,22.47,3,"Utica FM"
"128",7846,8.67,25.54,2.81,0.001,3.56,1.09,0.91,6.44,0.03,0.02,1.5,10,2,15,7.5,7.5,18.23,54.47,137.02,5,3,"Utica FM"
"129",7846.6,8.99,26.5,2.69,0.001,3.54,0.81,1.05,7.19,0.03,0.02,1.5,10,2,15,7.5,90.49,17.7,54.71,113.15,13.36,3,"Utica FM"
"130",7847,9.16,26.08,2.69,0.43,3.88,1.67,1.19,6.72,0.03,0.02,1.5,10,2,15,7.5,89.62,17.17,56.65,113.19,26.06,3,"Utica FM"
"131",7847.6,7.29,20.45,2.22,0.001,3.92,2.3,1,12.84,0.04,0.02,1.5,10,2,15,7.5,7.5,16.495,45.95,97.36,5,3,"Utica FM"
"132",7848,9.32,25.29,2.71,0.001,4.79,2.69,0.99,7.09,0.03,0.02,1.5,10,2,105.92,7.5,90.41,15.82,54.9,106.66,36.73,3,"Utica FM"
"133",7848.6,9.59,27.25,2.86,0.001,3.76,0.88,1.22,5.2,0.02,0.02,1.5,10,2,15,7.5,7.5,19.205,60.75,115.03,5,3,"Utica FM"
"134",7849,9.57,26.32,2.7,0.001,3.6,1.16,1.53,6.39,0.03,0.02,1.5,10,2,15,30.59,85.15,20.8975,57.59,105.49,22.98,3,"Utica FM"
"135",7849.6,9.11,25.92,2.77,0.001,3.72,1.45,0.99,6.98,0.03,0.02,1.5,10,2,15,7.5,112.13,21.74375,57.03,107.68,5,3,"Point Pleasant FM"
"136",7850,8.13,24.55,2.69,0.001,3.57,0.94,0.78,7.36,0.03,0.02,1.5,10,2,15,7.5,7.5,22.166875,55.16,102.93,5,3,"Point Pleasant FM"
"137",7850.6,5.35,16.8,1.4,0.001,2.49,0.77,1.25,20.93,0.07,0.02,1.5,10,2,15,7.5,64.86,22.3784375,31.52,78.02,18.09,3,"Point Pleasant FM"
"138",7851,8.79,23.54,2.31,0.001,4.05,1.88,1.15,10.78,0.04,0.02,1.5,10,2,15,7.5,85.37,22.59,48.98,103.83,38.89,3,"Point Pleasant FM"
"139",7851.6,9.5,28.19,2.7,0.001,3.61,1.23,0.98,6.88,0.03,0.02,1.5,10,2,15,7.5,7.5,19.77,52.17,105.27,5,3,"Point Pleasant FM"
"140",7852,7.14,22.88,2.22,0.001,3.73,1.64,0.65,10.46,0.04,0.02,1.5,10,2,82.95,39.9,83.15,18.36,46.22,128.19,36.84,3,"Point Pleasant FM"
"141",7853,5.96,19.48,2.08,0.001,3.05,0.79,0.49,14.37,0.05,0.02,1.5,10,2,15,7.5,75.66,17.655,43.21,96.75,19.22,3,"Point Pleasant FM"
"142",7854,5.97,18.66,2.47,0.41,3.82,0.99,0.51,9.39,0.04,0.02,1.5,10,2,15,7.5,61.79,17.3025,50.19,101.88,31.91,3,"Point Pleasant FM"
"143",7855,6.71,21.05,2.08,0.001,3.18,1.56,1.02,13.01,0.05,0.02,1.5,10,10.72,15,7.5,57.47,17.12625,41.5,107.01,26.86,3,"Point Pleasant FM"
"144",7856,5.89,18.21,1.95,0.001,2.99,0.89,1.01,15.95,0.05,0.02,1.5,10,2,15,7.5,59.2,17.038125,41.82,97.53,19.27,3,"Point Pleasant FM"
