"API_WELLNO","WH_LONG83","WH_LAT83","CSDCODE","Cum Oil","Cum Gas","SizeCategory","PointSize","Predicted_Value"
"34111248360000",-80.843605,39.84692,"PNPL",0,14182752,"Small",1,1.32505388952238
"34111248370000",-81.008736,39.666345,"PNPL",0,12033717,"Small",1,0.301883429173008
"34111248380000",-81.008687,39.666295,"PNPL",0,11177525,"Small",1,0.301883429173008
"34111248420000",-81.085612,39.672819,"PNPL",0,7014402,"Small",1,0.174933392008636
"34111248430000",-81.085595,39.672783,"PNPL",0,7253973,"Small",1,0.174933392008636
"34119287490100",-81.758426,39.821637,"PNPL",30871,479699,"Medium",2,1.02301470277362
"34121243420100",-81.342646,39.752049,"PNPL",251,1919533,"Small",1,0.70066678539921
"34121243480100",-81.609896,39.72201,"PNPL",69778,903216,"Large",3,0.156304088359565
"34121243490100",-81.537469,39.664696,"PNPL",14065,705653,"Medium",2,-0.866807246834832
"34121243500100",-81.656812,39.779914,"PNPL",64699,1201991,"Large",3,-0.183631571587566
"34121243640100",-81.287026,39.946264,"PNPL",24102,2632198,"Medium",2,0.17246802699532
"34121243650000",-81.287005,39.946226,"PNPL",22161,2993509,"Medium",2,0.17246802699532
"34121243660100",-81.51996,39.871451,"PNPL",78327,911160,"Large",3,0.394059582940594
"34121243890000",-81.422316,39.868141,"PNPL",97336,1678612,"Large",3,0.163096185904375
"34121243940100",-81.41403,39.745763,"PNPL",35121,1334546,"Medium",2,-0.489553023643444
"34121243960100",-81.380456,39.837551,"PNPL",144907,7088900,"Large",3,0.0900768522034575
"34121243980100",-81.417875,39.737724,"PNPL",35190,2072811,"Medium",2,-0.489553023643444
"34121243990000",-81.417938,39.737749,"PNPL",43369,2164327,"Medium",2,-0.489553023643444
"34121244000000",-81.422228,39.868036,"PNPL",80546,1745582,"Large",3,0.163096185904375
"34121244040000",-81.324769,39.90811,"PNPL",62221,3234619,"Large",3,1.13822183422817
"34121244050000",-81.418062,39.737802,"PNPL",47904,1558921,"Medium",2,-0.489553023643444
"34121244070000",-81.430822,39.864112,"PNPL",90699,1777565,"Large",3,0.163096185904375
"34121244090000",-81.43083,39.864071,"PNPL",108241,1889593,"Large",3,0.163096185904375
"34121244100000",-81.453404,39.85449,"PNPL",136835,2062878,"Large",3,0.472797464354774
"34121244110000",-81.440973,39.861939,"PNPL",178880,3086636,"Large",3,0.472797464354774
"34121244120000",-81.44094,39.861972,"PNPL",153851,2488909,"Large",3,0.472797464354774
"34121244140000",-81.380598,39.837572,"PNPL",168496,8221331,"Large",3,0.0900768522034575
"34121244180100",-81.393056,39.837775,"PNPL",52841,2737639,"Medium",2,0.0900768522034575
"34121244230000",-81.422788,39.88254,"PNPL",135867,3930645,"Large",3,1.18103581098159
"34121244240000",-81.422788,39.882499,"PNPL",107436,3362363,"Large",3,1.18103581098159
"34121244250000",-81.422789,39.882458,"PNPL",106757,3872354,"Large",3,1.18103581098159
"34121244270000",-81.422403,39.868244,"PNPL",143687,1975957,"Large",3,0.163096185904375
"34121244280000",-81.430792,39.86423,"PNPL",222051,2226880,"Large",3,0.163096185904375
"34121244290000",-81.422372,39.868208,"PNPL",183079,3019001,"Large",3,0.163096185904375
"34121244310000",-81.393014,39.884055,"PNPL",154526,3325819,"Large",3,-0.54168876820521
"34121244320000",-81.393047,39.884023,"PNPL",193167,4141755,"Large",3,-0.54168876820521
"34121244330000",-81.393076,39.883987,"PNPL",255339,4792127,"Large",3,-0.54168876820521
"34121244350000",-81.314582,39.913604,"PNPL",45894,3481269,"Medium",2,0.875950451600553
"34121244360000",-81.314528,39.913603,"PNPL",60254,4132454,"Medium",2,0.875950451600553
"34121244370000",-81.314475,39.913602,"PNPL",87974,4785902,"Large",3,0.875950451600553
"34121244460100",-81.395379,39.819515,"PNPL",48248,3264915,"Medium",2,0.0900768522034575
"34121244490000",-81.404308,39.881336,"PNPL",115930,3756715,"Large",3,-0.54168876820521
"34121244500000",-81.404272,39.881366,"PNPL",116497,4139408,"Large",3,-0.54168876820521
"34121244620000",-81.318763,39.822833,"PNPL",20119,6236451,"Medium",2,0.195130938099468
"34121244630000",-81.31872,39.822808,"PNPL",16617,5350174,"Medium",2,0.195130938099468
"34121244640000",-81.318682,39.822783,"PNPL",15581,5566088,"Medium",2,0.195130938099468
"34121244650000",-81.408564,39.879885,"PNPL",93863,2693711,"Large",3,1.18103581098159
"34121244660000",-81.408549,39.879924,"PNPL",100360,3266805,"Large",3,1.18103581098159
"34121244670000",-81.318558,39.822704,"PNPL",3053,5737604,"Small",1,0.195130938099468
"34121244710000",-81.430811,39.864153,"PNPL",178787,2095412,"Large",3,0.163096185904375
"34121244720000",-81.430799,39.864191,"PNPL",160382,2089416,"Large",3,0.163096185904375
"34121244730000",-81.318805,39.822858,"PNPL",15848,6141457,"Medium",2,0.195130938099468
"34121244740000",-81.398233,39.848408,"PNPL",49903,2103608,"Medium",2,-0.351271084691567
"34121244770000",-81.329214,39.81835,"PNPL",15869,5736900,"Medium",2,0.195130938099468
"34121244780000",-81.329256,39.818375,"PNPL",16761,6152461,"Medium",2,0.195130938099468
"34121244810000",-81.329341,39.818417,"PNPL",8930,8065485,"Medium",2,0.195130938099468
"34121244820000",-81.329298,39.818395,"PNPL",5704,5733878,"Medium",2,0.195130938099468
"34121244830000",-81.316212,39.935954,"PNPL",80812,6636359,"Large",3,1.13822183422817
"34121244840000",-81.316262,39.935949,"PNPL",94149,7765454,"Large",3,1.13822183422817
"34121244850000",-81.314421,39.913602,"PNPL",66358,4315074,"Large",3,0.875950451600553
"34121244860000",-81.314368,39.913601,"PNPL",46532,3463311,"Medium",2,0.875950451600553
"34121244870000",-81.314314,39.913601,"PNPL",43473,3827043,"Medium",2,0.875950451600553
"34121244880000",-81.316105,39.935967,"PNPL",55432,6598343,"Medium",2,1.13822183422817
"34121244890000",-81.316158,39.935959,"PNPL",86318,6598264,"Large",3,1.13822183422817
"34121244920000",-81.331146,39.902132,"PNPL",49862,3449005,"Medium",2,-0.279940420317442
"34121244930000",-81.329168,39.818328,"PNPL",15011,5658420,"Medium",2,0.195130938099468
"34121244950000",-81.316051,39.935972,"PNPL",62518,7380719,"Large",3,0.875950451600553
"34121244960000",-81.324769,39.908067,"PNPL",68704,3655284,"Large",3,1.13822183422817
"34121244970000",-81.324766,39.908026,"PNPL",62698,3568752,"Large",3,1.13822183422817
"34121244980000",-81.324771,39.90815,"PNPL",76516,4315673,"Large",3,1.13822183422817
"34121244990000",-81.324763,39.907985,"PNPL",40964,4420228,"Medium",2,1.13822183422817
"34121245020000",-81.324757,39.907902,"PNPL",39775,3906939,"Medium",2,1.13822183422817
"34121245030000",-81.324754,39.907861,"PNPL",29377,3115545,"Medium",2,1.13822183422817
"34121245040000",-81.371013,39.865091,"PNPL",81996,4393844,"Large",3,0.262614297951543
"34121245050000",-81.330953,39.902199,"PNPL",80255,3661730,"Large",3,-0.279940420317442
"34121245060000",-81.330903,39.902215,"PNPL",89693,4453672,"Large",3,-0.279940420317442
"34121245070000",-81.330853,39.902231,"PNPL",88734,4480708,"Large",3,-0.279940420317442
"34121245110000",-81.3311,39.902151,"PNPL",34833,3422356,"Medium",2,-0.279940420317442
"34121245120000",-81.33105,39.902167,"PNPL",26920,3268774,"Medium",2,-0.279940420317442
