"Depth","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","chemofacies","Factor1","Factor2","Factor3"
7812.6,5,12.96,0.94,0.001,2.67,1.12,0.67,28.09,0.09,0.02,1.5,10,2,15,7.5,34.25,23.19013671875,26.1,66.73,12.1,"Utica FM",4,-0.596171849335033,1.46467612068033,-0.013123371709871
7813,4.19,11.37,0.95,0.001,2.54,0.79,0.68,28.02,0.09,0.02,1.5,10,2,15,7.5,56.81,23.195068359375,24.98,55.22,9.83,"Utica FM",4,-0.666550721757511,1.35819047192814,0.129437665872079
7813.6,9.07,25.05,2.85,0.001,4.25,2.58,1.14,5.56,0.03,0.02,1.5,10,2,15,7.5,7.5,23.1975341796875,57.32,122.11,5,"Utica FM",3,1.11243790273826,1.83626472813431,0.114817476659313
7814,4.39,12.87,1.32,0.001,2.95,1.51,0.88,23.59,0.08,0.02,1.5,10,2,15,7.5,39.48,23.1987670898437,29.8,71.26,22.88,"Utica FM",3,-0.447044837436833,1.5701520202384,-0.431994940351058
7814.6,1.02,2.79,0.16,0.001,1.01,0.41,0.3,43.25,0.14,0.02,1.5,10,2,15,7.5,7.5,23.1993835449219,1.5,1.5,5,"Utica FM",4,-1.9792346786691,1.28655098670298,0.0899445137159337
7815,8.16,23.93,2.68,0.47,4.47,1.92,0.89,5.64,0.03,0.02,1.5,10,2,15,7.5,97.1,23.1996917724609,58.7,143.25,28.95,"Utica FM",3,1.12733134764417,1.6047209109069,-0.269402577853235
7815.6,8.47,25.24,2.64,0.001,4.65,2.05,0.9,5.47,0.03,0.02,1.5,10,2,15,41.83,90.24,23.1998458862305,56.07,140.71,25.09,"Utica FM",3,1.11074453513283,1.44475783620671,-0.515893933655544
7816,9.03,25.96,2.76,0.49,4.62,1.69,1,4.42,0.03,0.02,1.5,10,2,87.78,7.5,78.77,23.2,59.1,145.75,17.96,"Utica FM",3,1.20612434589831,1.00027442677532,0.209914767748966
7816.6,8.56,23.2,2.26,0.001,4.12,2.28,1.4,10.36,0.04,0.02,1.5,10,2,15,7.5,150.14,20.01,50.43,109.97,15.67,"Utica FM",3,1.02805497784456,1.41354832162012,-0.16033322263254
7817,7.15,19.88,2.49,0.001,4.61,2.07,0.71,5.48,0.03,0.02,1.5,10,2,15,7.5,88.87,18.415,58.41,118.49,15.56,"Utica FM",3,0.945566708787356,1.588867649434,-0.0517036415844031
7817.6,3.42,7.55,0.28,0.001,1.44,0.75,0.68,42.34,0.1,0.02,1.5,10,2,15,7.5,36.24,17.6175,3.36,9.01,5,"Utica FM",4,-1.41008911707509,1.17447021614429,0.171927780505387
7818,9.51,25.44,3.02,0.001,4.3,1.59,0.73,4.59,0.03,0.02,1.5,10,2,15,7.5,78.26,17.21875,61.29,132.14,10,"Utica FM",3,1.36383567781821,1.52279868288183,0.482593603712143
7818.6,8.67,23.93,2.72,0.001,4.34,1.78,1.24,6.21,0.03,0.02,1.5,10,2,15,7.5,78.75,17.019375,57.14,135.54,24.42,"Utica FM",3,1.21108844387145,1.50278081528653,-0.00720064629996543
7819,6.04,14.64,0.6,0.001,1.76,1.33,1.46,36.52,0.13,0.02,1.5,10,2,15,7.5,20.88,16.9196875,11.22,22.61,14.89,"Utica FM",4,-0.946955462029159,1.21944253372156,-0.138417395244719
7819.6,9.47,25.13,2.74,0.48,4.55,1.13,1.47,5.69,0.03,0.02,1.5,10,2,15,7.5,83.41,16.86984375,58.6,132.61,21.26,"Utica FM",3,1.36742768860097,1.26182804813731,0.438395385422796
7820,7.87,21.82,2.43,0.001,3.97,1.7,0.99,11.78,0.04,0.02,1.5,10,2,15,7.5,7.5,16.844921875,48.76,109.44,5,"Utica FM",3,0.75880294975702,1.52067439306985,0.471216456708998
7820.6,8.75,24.62,2.59,0.001,4.22,1.72,1.06,7.5,0.04,0.02,1.5,10,2,15,7.5,7.5,16.8324609375,49.82,130.65,5,"Utica FM",3,1.04899884032877,1.51604189194626,0.567490637782979
7821,7.83,23.38,2.62,0.001,4.31,1.89,0.93,6.6,0.04,0.02,1.5,10,2,15,7.5,7.5,16.82623046875,57.24,134.67,5,"Utica FM",3,1.02188502313226,1.52784880820354,0.509012634392775
7821.6,10.27,25.84,2.89,0.001,4.93,2.78,1.07,6.26,0.04,0.02,1.5,10,2,15,7.5,7.5,16.823115234375,63.11,113.7,5,"Utica FM",3,1.25395804111697,1.77437568667629,0.116714112915374
7822,7.17,22.06,2.45,0.001,4.04,2.18,0.69,7.65,0.04,0.02,1.5,10,2,15,7.5,72.45,16.82,53.12,109.77,18.02,"Utica FM",3,0.801671507093998,1.57821086941317,-0.127346513669549
7822.6,7.17,22.06,2.45,0.001,4.04,2.18,0.69,7.65,0.04,0.02,1.5,10,2,15,7.5,72.45,16.82,53.12,109.77,18.02,"Utica FM",3,0.801671507093998,1.57821086941317,-0.127346513669549
7823,8.44,22.86,2.38,0.001,4.2,1.77,1.04,9.93,0.04,0.02,1.5,10,2,15,28.07,72.2,16.39,53.11,114.02,26.96,"Utica FM",3,0.865048537384694,1.36465219478459,-0.315208285292627
7823.6,8.22,22.95,2.3,0.001,3.88,1.37,1,10.86,0.04,0.02,1.5,10,2,15,7.5,7.5,16.175,50.64,125.42,5,"Utica FM",3,0.860317444148157,1.41660738714935,0.688761014889116
7824,2.54,6.78,0.69,0.001,0.92,0.28,0.6,37.13,0.03,0.02,1.5,10,2,15,7.5,17.29,16.0675,12.56,28.98,5,"Utica FM",4,-1.08677680048892,1.13312396235605,0.585605550288621
7824.6,9.53,24.43,2.74,0.001,3.96,1.69,1.35,8.51,0.04,0.02,1.5,10,2,15,7.5,7.5,16.01375,52.69,130.37,5,"Utica FM",3,1.14489012310729,1.4556138779709,0.650169746868584
7825,2.96,8.15,0.53,0.001,1.77,0.44,0.54,37.64,0.09,0.02,1.5,10,2,15,7.5,19.81,15.96,15.16,36.31,11.67,"Utica FM",4,-1.17326619929209,1.16223566042394,0.263326053904118
7825.6,2.96,8.15,0.53,0.001,1.77,0.44,0.54,37.64,0.09,0.02,1.5,10,2,15,7.5,19.81,15.96,15.16,36.31,11.67,"Utica FM",4,-1.17326619929209,1.16223566042394,0.263326053904118
7826,8.66,24.24,2.75,0.001,4.43,2.31,1.53,6.42,0.03,0.02,1.5,10,2,15,7.5,13.655,16.605,57.5,110.47,5,"Utica FM",3,1.14464271993779,1.55194677342505,0.330386369925981
7826.6,9.61,24.95,2.88,0.001,3.97,1,1.22,6.63,0.03,0.02,1.5,10,2,15,7.5,7.5,16.9275,58.25,121.9,5,"Utica FM",3,1.22544498051094,1.44874125084431,0.905344597954026
7827,7.62,18.88,2.17,0.001,3.34,1.46,1.06,15.09,0.05,0.02,1.5,10,2,15,7.5,7.5,17.08875,48.41,113.89,5,"Utica FM",3,0.555482150316631,1.4075851481538,0.573595886041792
7827.6,4.42,13.59,2.28,0.001,3.49,1,1.03,13.04,0.05,0.02,1.5,10,2,15,7.5,7.5,17.169375,49.1,110.71,5,"Utica FM",3,0.331349772336622,1.29982641075701,0.688112030919483
7828,6.91,19.87,2.24,0.001,4,1.77,1.35,10.1,0.04,0.02,1.5,10,2,15,7.5,69.91,17.2096875,57.84,111.47,17.69,"Utica FM",3,0.793069562054719,1.38878753728106,0.0772976623975282
7828.6,7.66,20.89,2.17,0.001,3.5,1.46,1.12,13.32,0.06,0.02,1.5,10,2,15,7.5,7.5,17.22984375,49.52,109.74,5,"Utica FM",3,0.598756552435859,1.39940261550428,0.57071396080278
7829,7.34,21.66,2.43,0.001,3.9,1.49,0.84,9.67,0.05,0.02,1.5,10,2,99.31,7.5,76.45,17.239921875,50.12,120.48,26.23,"Utica FM",3,0.655220737113082,0.865424619404276,-0.0506685911478487
7829.6,8.13,22.99,2.68,0.001,3.99,1.64,1.24,7.4,0.04,0.02,1.5,10,2,15,7.5,77.47,17.2449609375,54.98,117.89,22.6,"Utica FM",3,1.02506577353628,1.46763336600345,0.0393563020211557
7830,5.11,14.26,1.34,0.001,2.99,0.7,0.72,23.62,0.05,0.02,1.5,10,2,15,7.5,67.57,17.24748046875,34.55,71.75,5,"Utica FM",3,-0.0946720516672105,1.20266297698225,0.56279830514592
7830.6,6.87,18.45,2.19,0.001,3.5,0.85,0.96,15.84,0.04,0.02,1.5,10,2,15,7.5,57.67,17.248740234375,41.62,85.86,20.46,"Utica FM",3,0.428277165811305,1.42278603602014,0.207362305543478
7831,8.1,22.33,2.75,0.001,4.23,2.23,0.98,7.52,0.03,0.02,1.5,10,2,15,7.5,70.05,17.2493701171875,55.46,123.86,26.94,"Utica FM",3,1.00861505853989,1.65595782354521,-0.333407702920478
7831.6,7.48,20.94,2.22,0.001,3.94,2.03,0.81,11.54,0.05,0.02,1.5,10,2,15,7.5,70.1,17.2496850585937,47.98,103.74,26.1,"Utica FM",3,0.607247528543524,1.60312869874545,-0.365730994032041
7832,8.68,23.89,2.76,0.001,4.04,2.07,1.23,7.3,0.03,0.02,1.5,10,2,15,7.5,80.52,17.2498425292969,56.7,115.55,34.35,"Utica FM",3,1.06115109606375,1.63655745974668,-0.464049110007803
7832.6,8.66,21.88,2.28,0.001,3.82,1.33,0.9,13.56,0.05,0.02,1.5,10,2,15,7.5,68.37,17.2499212646484,45.85,94.29,21.65,"Utica FM",3,0.67462131191594,1.52056185898898,0.0298830703769403
7833,6.83,19.36,2.19,0.001,3.75,1.59,0.65,12.31,0.05,0.02,1.5,10,2,15,7.5,63.36,17.2499606323242,46.2,101.58,26.89,"Utica FM",3,0.473022202418347,1.57205803133737,-0.241846757540309
7833.6,7.89,20.63,2.51,0.001,3.9,1.44,1.19,12.31,0.04,0.02,1.5,10,2,15,7.5,7.5,17.2499803161621,48.45,98.19,5,"Utica FM",3,0.730885105939094,1.4909228976088,0.541814943467069
7834,8.5,22.66,2.54,0.43,4.34,1.59,1.32,8.95,0.03,0.02,1.5,10,2,73.23,7.5,72.75,17.2499901580811,55.23,109.33,22.46,"Utica FM",3,0.941658044877806,0.964161038837692,0.104069509760983
7834.6,7.71,22.14,2.68,0.001,4.16,1.46,0.82,7.62,0.03,0.02,1.5,10,2,15,7.5,75.31,17.25,53.14,112.43,22.69,"Utica FM",3,0.940185276179636,1.54962427851048,0.0375505872671956
7835,5.4,15.12,1.65,0.001,2.81,0.78,0.95,22.27,0.05,0.02,1.5,10,2,15,7.5,52.07,16.395,30.54,61.3,16.45,"Utica FM",3,-0.0932391272927918,1.3030812960806,0.231356760625753
7835.6,6.74,20.22,2.29,0.001,3.86,1.8,0.7,10.62,0.04,0.02,1.5,10,2,15,7.5,56.38,15.9675,51.33,118.99,25.97,"Utica FM",3,0.646167978638856,1.54336357453414,-0.179573141824023
7836,8.37,22.91,2.54,0.001,3.86,1.4,0.88,9.58,0.04,0.02,1.5,10,2,15,7.5,70.1,15.75375,51.08,112.48,17.85,"Utica FM",3,0.918834153906188,1.44573472828013,0.249296627752341
7836.6,8.05,22.74,2.67,0.001,3.8,1.49,0.86,8.56,0.03,0.02,1.5,10,6.49,55.19,20.3,69.58,15.54,53.47,110.99,22.06,"Utica FM",3,0.851565197947331,0.812760880834779,0.0875980538535002
