Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC_(wt.%),Total_Porosity,Quartz,Plagioclase,K-Feldspar,Calcite,Siderite,Ankerite,Dolomite,Pyrite,Fluorapatite,Barite,Total_Clay,MBI
6435.6,3.14,10.56,1.81,2.01,0.77,0.89,1.43,24.87,0.14,0.02,1.5,10,8.83,94.84,20.49,30.09,28.75,20.99,56.36,7.05,4,-0.969344028075741,-0.313816381230133,0.584693509782551,4.164375000000107,0.04033179012345673,12.59830268741169,0.5983026874116898,4.589816124470139,58.016973125883105,0,0,3.8033946251766206,3,2,0,15.393210749646759,0.7900848656294155
6436,2.01,8.97,0.62,0.001,1.06,1.4,0.92,33.44,0.17,0.49,1.5,10,8.83,106.44,32.1,27.63,31.665,12.66,34.62,5,4,-1.94842264054562,-0.14847625958491,-0.567845642252372,4.2481250000000355,0.04024537037037038,12.654879773691697,0.6548797736916973,4.929278642150184,57.451202263083026,0,0,3.6902404526166057,3,2,0,15.619519094766789,0.7872560113154151
6436.6,2.01,8.97,0.62,0.001,1.06,1.4,0.92,33.44,0.17,0.49,1.5,10,8.83,106.44,32.1,27.63,31.665,12.66,34.62,5,4,-1.94842264054562,-0.14847625958491,-0.567845642252372,4.382631578947491,0.04100443864229834,12.739745403111836,0.7397454031118371,5.438472418671022,56.60254596888163,0,0,3.5205091937763258,3,2,0,15.95898161244735,0.7830127298444082
6437,3.79,13.85,1.2,0.001,1.77,2.1,2.01,24.63,0.12,0.42,1.5,10,8.83,100.88,32.61,34.43,33.1225,22.66,46.19,10.58,4,-1.12189796468823,0.0400586099647861,-0.777263385557324,4.47526315789477,0.04182950391644904,12.796322489391844,0.7963224893918446,5.777934936351068,56.036775106081556,0,0,3.407355021216311,3,2,0,16.185289957567377,0.7801838755304078
6437.6,3.79,13.85,1.2,0.001,1.77,2.1,2.01,24.63,0.12,0.42,1.5,10,8.83,100.88,32.61,34.43,33.1225,22.66,46.19,10.58,4,-1.12189796468823,0.0400586099647861,-0.777263385557324,4.6142105263159,0.04306710182767697,12.881188118811984,0.8811881188119843,6.2871287128719064,55.18811881188016,0,0,3.2376237623760313,3,2,0,16.524752475247936,0.7759405940594007
6438,2.4,9.58,0.61,1.24,0.59,0.94,0.3,31.69,0.16,0.28,1.5,10,8.83,97.39,28.12,22.55,34.58,13.12,37.44,5,4,-1.8667465174892,-0.0998586053826628,-0.0777810050440319,4.70684210526318,0.04389216710182767,12.937765205091992,0.9377652050919918,6.62659123055195,54.62234794908008,0,0,3.1244695898160164,3,2,0,16.751060820367968,0.7731117397454004
6438.6,2.4,9.58,0.61,1.24,0.59,0.94,0.3,31.69,0.16,0.28,1.5,10,8.83,97.39,28.12,22.55,34.58,13.12,37.44,5,4,-1.8667465174892,-0.0998586053826628,-0.0777810050440319,4.84578947368431,0.0451297650130556,13.073903002309807,0.9630484988450962,6.741339491915674,54.443418013858846,0,0,3.147806004619615,2.9260969976901925,2,0,16.70438799076077,0.7740646651270394
6439,2.62,14.41,0.8,0.001,0.51,0.74,0.3,25.9,0.12,0.24,1.5,10,8.83,92.04,31.9,55.37,19.65,18.19,33.72,5,4,-1.32188129459832,-0.211790351018461,0.203940938762685,4.93842105263159,0.045954830287206296,13.258660508083276,0.8706697459583621,6.094688221708535,55.55196304849965,0,0,3.5173210161665516,2.741339491916724,2,0,15.965357967666897,0.7842263279445801
6439.6,2.62,14.41,0.8,0.001,0.51,0.74,0.3,25.9,0.12,0.24,1.5,10,8.83,92.04,31.9,55.37,19.65,18.19,33.72,5,4,-1.32188129459832,-0.211790351018461,0.203940938762685,5.077368421052721,0.04719242819843423,13.535796766743898,0.7321016166280508,5.124711316396356,57.21478060046339,0,0,4.071593533487796,2.464203233256102,2,0,14.856812933024408,0.7994688221709144
6440,1.74,9.74,0.48,0.86,0.48,0.75,0.3,33.88,0.17,0.42,1.5,10,8.83,85.84,7.5,42.95,39.67,10.02,30.88,5,4,-2.058992521489,0.218037043614,-0.186257721918643,5.17,0.048017493472584924,13.720554272517367,0.6397228637413167,4.478060046189217,58.3233256351042,0,0,4.441108545034734,2.279445727482633,2,0,14.117782909930533,0.8096304849884551
6440.6,1.74,9.74,0.48,0.86,0.48,0.75,0.3,33.88,0.17,0.42,1.5,10,8.83,85.84,7.5,42.95,39.67,10.02,30.88,5,4,-2.058992521489,0.218037043614,-0.186257721918643,4.856451612903072,0.04665424836601222,13.99769053117799,0.5011547344110054,3.5080831408770377,59.98614318706794,0,0,4.995381062355978,2.002309468822011,2,0,13.009237875288044,0.8248729792147894
6441,0.61,5.92,0.13,0.001,0.49,1,0.3,40.6,0.22,0.74,1.5,10,8.83,104.85,29.28,27.65,33.755,10.48,1.5,5,4,-2.7898679653283,-0.243791136015008,-0.807174054006589,4.647419354838771,0.04562156862745121,14.182448036951458,0.4087759815242713,2.8614318706698993,61.09468822170874,0,0,5.364896073902915,1.8175519630485426,2,0,12.27020785219417,0.8350346420323301
6441.6,0.61,5.92,0.13,0.001,0.49,1,0.3,40.6,0.22,0.74,1.5,10,8.83,104.85,29.28,27.65,33.755,10.48,1.5,5,4,-2.7898679653283,-0.243791136015008,-0.807174054006589,4.333870967741843,0.04407254901960733,14.45958429561208,0.27020785219395993,1.8914549653577195,62.75750577367248,0,0,5.91916859122416,1.5404157043879199,2,0,11.16166281755168,0.8502771362586644
6442,1.65,7.68,0.15,1.66,0.29,0.43,0.82,36.37,0.16,0.02,1.5,10,8.83,90.08,7.5,7.5,30.7975,10.74,15.07,5,4,-1.92272135680964,-0.0801235083250223,0.500567763220639,4.124838709677542,0.04303986928104632,14.644341801385549,0.1778290993072258,1.2448036951505808,63.86605080831329,0,0,6.288683602771097,1.3556581986144516,2,0,10.422632794457806,0.8604387990762051
6442.6,1.65,7.68,0.15,1.66,0.29,0.43,0.82,36.37,0.16,0.02,1.5,10,8.83,90.08,7.5,7.5,30.7975,10.74,15.07,5,4,-1.92272135680964,-0.0801235083250223,0.500567763220639,3.8112903225806143,0.04149084967320245,14.921478060046171,0.03926096997691453,0.2748267898384018,65.52886836027703,0,0,6.842956120092342,1.078521939953829,2,0,9.314087759815315,0.8756812933025394
6443,1.51,11.63,0.88,0.05,0.49,0.82,0.3,32.62,0.12,0.17,1.5,10,8.83,89.1,7.5,16.72,27.84,24.47,33.82,6.16,4,-1.53960121140926,0.338909173442576,0.149919310929381,3.6022580645163127,0.04045816993464143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6443.6,1.51,11.63,0.88,0.05,0.49,0.82,0.3,32.62,0.12,0.17,1.5,10,8.83,89.1,7.5,16.72,27.84,24.47,33.82,6.16,4,-1.53960121140926,0.338909173442576,0.149919310929381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6444,1.59,8.25,0.03,2.29,0.2,0.27,0.93,37.94,0.13,0.02,1.5,10,8.83,72.32,7.5,7.5,25.38,5.01,16.52,5,4,-1.81856267162541,-0.275011171324332,0.796711416627622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6444.6,1.59,8.25,0.03,2.29,0.2,0.27,0.93,37.94,0.13,0.02,1.5,10,8.83,72.32,7.5,7.5,25.38,5.01,16.52,5,4,-1.81856267162541,-0.275011171324332,0.796711416627622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
