"Depth","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","chemofacies","Factor1","Factor2","Factor3"
6222,6.94,24.68,2.33,1.46,3.67,1.72,0.99,6.66,0.03,0.02,1.5,10,12.21,91.17,47.55,80.74,7.75,48.12,111.06,17,"Utica FM",2,0.748298086059361,-0.734589341719003,0.459057735047581
6222.6,6.52,25.21,1.96,0.001,3.57,1.82,1.01,10.65,0.05,0.06,1.5,10,11.25,107.82,32.57,96.79,7.22,97.37,173.4,13.37,"Utica FM",2,1.02930924361464,-0.65096617785417,0.666769699537255
6223,7.95,26.9,2.4,0.48,3.72,1.66,1.43,8.4,0.04,0.02,1.5,126.96,10.77,88.1,50.28,75.8,11.55,48.68,137.82,10.89,"Utica FM",2,0.997784156419211,-0.836974735670816,0.545214465630318
6223.6,8.1,27.73,2.54,0.46,3.83,1.92,0.85,6.92,0.04,0.09,3.75,150.48,10.53,96.06,55.51,82.87,9.04,51.94,134.01,16.04,"Utica FM",2,0.878161315798437,-0.904068583271453,-0.0238471213401218
6224,4.83,19.16,1.47,2.02,3.4,1.7,0.52,15.29,0.05,0.02,1.5,10,10.41,89.56,50.96,65.93,5.61,32.11,112.77,16.33,"Utica FM",2,0.053034108705176,-0.875273322876769,0.407364254909342
6224.6,7.97,26.84,2.57,0.001,3.93,2.03,1.44,6.94,0.03,0.02,1.5,10,10.29,97.65,50.92,67.04,9.27,50.16,115.82,14.57,"Utica FM",2,0.963424474409034,-0.27545732932019,0.16385209485064
6225,5.95,22.35,1.9,0.001,3.78,2.58,1.02,13,0.06,0.14,1.5,10,12.285,113.31,44.25,116.4,10.85,98.44,153.51,17.26,"Utica FM",2,0.717724816213351,-0.695529714056666,-0.0596517783453626
6225.6,6.86,24.87,2.27,0.001,3.62,1.83,1.17,9.26,0.04,0.08,1.5,10,13.2825,90.51,50.23,77.86,11.44,113.24,147.1,10.58,"Utica FM",2,1.07077653667374,-0.625407544975393,0.548845381773268
6226,6.22,25.85,1.87,0.001,3.4,1.61,1.39,10.93,0.04,0.06,1.5,10,13.78125,66.14,38.65,60.67,10.37,36.91,129.31,13.97,"Utica FM",2,0.601392361700028,-0.337331196246429,0.379954357753239
6226.6,6.96,24.74,2.31,0.001,3.7,1.87,1.56,9.55,0.04,0.19,3.72,10,14.28,104.98,47.9,72.46,9.38,44.7,121.49,14.7,"Utica FM",2,0.57779697119907,-0.747209115605347,-0.0955508748092469
6227,5.75,19.43,1.83,0.001,3.46,1.88,1.23,16.28,0.06,0.17,1.5,10,12.905,84.93,48.62,56.83,9.41,92.1,117.87,8.48,"Utica FM",2,0.435613963047973,-0.637142169573847,0.355720070693944
6227.6,7.37,25.72,2.26,0.43,3.68,2.11,1.15,9.2,0.04,0.2,1.5,127.85,12.2175,102.9,54.55,80.84,11.51,45.36,153.03,18.13,"Utica FM",2,0.737755737654174,-1.07335452361569,0.0283851355492946
6228,6.31,24.8,1.95,0.66,3.61,1.89,1.44,9.31,0.05,0.14,1.5,126.06,11.87375,103.06,43.15,70.41,10.68,42.32,169.26,13.04,"Utica FM",2,0.717780478347305,-1.18592519566699,0.469132097344621
6228.6,7.2,24.75,2.31,0.001,3.77,2.03,1.38,8.98,0.04,0.18,1.5,10,11.701875,118.29,64.23,61.38,10.5,46.13,148.59,19.55,"Utica FM",2,0.671473847718789,-0.750403848010536,-0.111058402242426
6229,6.86,25.28,2.06,0.001,3.2,1.47,1.76,11.08,0.05,0.13,1.5,10,11.6159375,90.78,41,44.05,6.21,100.37,156.93,10.45,"Utica FM",2,1.00604395429359,-0.764932982715551,0.887311970638589
6229.6,7.41,27.11,2.33,0.001,3.56,1.79,0.91,8.22,0.05,0.09,1.5,10,11.57296875,109.92,35.05,44.71,9.55,107.8,163.89,14.76,"Utica FM",2,1.07893964388279,-0.481482045481617,0.615761342925577
6230,4.25,15.77,1.14,0.21,2.97,1.81,1.24,24.01,0.08,0.24,4.66,42.62,11.551484375,73.31,42.4,37.79,6.07,21.65,118.78,12.34,"Utica FM",2,-0.46457817428189,-0.675292714551733,-0.260905774669974
6230.6,6.59,24.92,2.03,0.43,3.25,1.72,1.07,10.63,0.05,0.14,1.5,140.64,11.5407421875,109.78,32.7,48.96,7.92,42.71,161.53,13.19,"Utica FM",2,0.641333681594976,-1.09642159233791,0.605584963888517
6231,7.03,25.39,2.12,0.001,3.3,1.67,1.21,10.69,0.05,0.1,1.5,10,11.53537109375,94.38,42.33,49.71,11.33,103.12,162.78,5,"Utica FM",2,0.993592584531512,-0.561861386822735,0.84433730000188
6231.6,5.11,21.21,2.05,0.42,3.52,1.47,1.27,10.37,0.05,0.09,1.5,114.45,11.53,103.39,34.67,44.27,9.51,42.18,167.65,14.43,"Utica FM",2,0.567018181533861,-0.979479876382487,0.621561873413108
6232,6.71,26.09,2.32,0.71,3.35,1.34,1.11,5.27,0.04,0.11,1.5,113.94,10.625,80.59,35.96,51.68,12.4,50.63,155.45,16.23,"Utica FM",2,0.852152265404783,-0.690537988710637,0.633946114676286
6232.6,5.99,24.12,2.08,0.001,3.26,1.16,1.17,8.62,0.04,0.06,3.71,10,10.1725,102.71,38.41,68.69,8.98,48.38,121.46,14.51,"Utica FM",2,0.535244218813147,-0.425400132448402,0.297384326492871
6233,8.34,27.09,2.66,0.46,3.25,1.35,0.9,4.48,0.03,0.13,1.5,123.72,9.72,108.36,48.88,151.25,13.32,53.23,169.01,19.94,"Utica FM",2,1.16555511434923,-0.986289851446883,0.401787038043633
6233.6,1.02,4.72,0.52,0.04,1.91,0.87,0.3,38.86,0.15,0.02,1.5,10,11.385,86.27,37.3,17.02,10.64,13.74,38.27,9.55,"Utica FM",4,-1.68260298518654,-0.370412478563523,0.101986378306246
6234,7.32,28.06,2.31,0.49,3.3,1.32,1.81,6.91,0.03,0.18,1.5,144.93,13.05,97.15,30.62,73.11,7.96,47.64,170.11,7.24,"Utica FM",2,1.11543981265892,-1.36204400995608,1.09736213319624
6234.6,6.66,26.05,2.1,0.45,3.25,1.47,1.1,9.36,0.04,0.13,1.5,127.51,11.625,103.75,38.41,80.57,10.89,43.24,167.62,13.81,"Utica FM",2,0.780724886129138,-1.07170031852324,0.621693492297023
6235,6.8,26.39,2.34,0.49,3.42,1.64,0.44,7.7,0.04,0.1,1.5,148.32,10.9125,94.78,50.13,77.62,12.42,52,140.53,17.41,"Utica FM",2,0.710671781195367,-0.83823452744691,0.260356690658528
6235.6,7.24,27.48,2.5,0.52,3.62,1.72,1.1,6.29,0.03,0.06,1.5,162.55,10.55625,106.04,27.98,72.22,9.51,51.53,139.92,18.9,"Utica FM",2,0.98194069899675,-0.858167127119399,0.483720808594267
6236,6.81,27.35,2.29,0.001,3.52,1.71,1.06,7.32,0.03,0.07,1.5,10,10.2,106.78,42.59,64.49,9.02,48.42,126.04,16.93,"Utica FM",2,0.76670343198333,-0.355559627241497,0.265989758825787
6236.6,3.07,12.38,1.49,0.18,2.17,0.87,0.3,27.93,0.1,0.03,1.5,54.97,10.755,109.99,23.09,37.54,6.2,48.06,97.76,6.5,"Utica FM",4,-0.511936838281619,-0.721021588651259,0.842041175570748
6237,6.51,23.11,2.2,0.43,3.12,1.33,0.74,10.1,0.05,0.15,1.5,118.15,11.31,98.52,32.36,80.11,10.42,46.39,128.18,10.64,"Utica FM",2,0.545086435280381,-0.858866519938689,0.635090708637545
6237.6,5.17,23.27,1.64,0.001,2.78,1.09,0.65,14.07,0.06,0.17,1.5,10,10.445,104.4,39.26,185.04,8.47,82.74,178.52,11.83,"Utica FM",2,0.729864015775571,-0.986693889499848,0.767773875961163
6238,3.05,15.52,1.62,0.22,2.15,0.84,0.63,22.93,0.07,0.12,1.5,52.29,10.0125,99.29,7.5,45.94,4.83,20.72,137.43,10.35,"Utica FM",2,-0.230570482104021,-0.610451846046783,0.939205396028624
6238.6,4.29,21.58,1.31,0.001,2.66,1.16,1.07,16.78,0.05,0.26,1.5,10,9.79625,99.31,38.54,184.11,7.8,27.53,154.67,10.23,"Utica FM",2,0.267080108020306,-0.977916431782876,0.511335297467752
