Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC (wt.%),Porosity,Quartz,Plagioclase,K_Feldspar,Calcite,Dolomite_Fe_Dolomite,Pyrite,Total_Clay,MBI
7804.6,2.63,7.16,0.61,0.001,2.01,0.81,0.92,35.52,0.1,0.02,1.5,10,2,15,7.5,34.82,13.1000193786621,11.58,37.5,12.38,4,-1.1042131948866,1.04480724095808,0.152685032753098,0.22,3.1775000000000038,23.736363636363638,6.011570247933885,0.4223140495867769,13.2099173553719,2.394214876033058,3.4057851239669423,50.880991735537194,0.3949586776859504
7805,4.62,13.8,1.21,0.001,2.89,1.39,1.05,24.51,0.07,0.02,1.5,10,2,15,7.5,50.57,13.1000096893311,27.71,70.96,17.67,3,-0.282043284471602,1.19519805788067,0.00118453412208465,0.21520000000000436,3.181875,23.66363636363643,6.024793388429741,0.424958677685948,13.175537190082675,2.38760330578513,3.4123966942148702,50.97355371900818,0.3937685950413234
7805.6,8.2,23.58,2.91,0.001,4.33,0.93,0.85,5.55,0.04,0.08,1.5,10,2,15,7.5,7.5,13.1000048446655,61.76,118.91,5,3,1.09517823122855,1.34118945767112,0.909114476333602,0.20800000000000002,3.1884375000000036,23.554545454545455,6.044628099173554,0.4289256198347107,13.12396694214876,2.3776859504132233,3.422314049586777,51.11239669421488,0.39198347107438014
7806,7.24,24.46,2.12,0.001,3.57,1.47,0.75,9.92,0.05,0.02,1.5,10,2,15,7.5,65.33,13.1000024223328,45.45,126.71,13.77,3,0.790296678774166,1.26302304067983,0.423988155656454,0.20320000000000438,3.1928124999999996,23.481818181818248,6.05785123966941,0.4315702479338819,13.089586776859536,2.3710743801652954,3.428925619834705,51.204958677685866,0.39079338842975314
7806.6,2.4,6.78,0.62,0.001,1.78,0.52,0.3,35.81,0.09,0.02,1.5,10,2,15,50.4,22.95,13.1000012111664,11.85,30.8,5,4,-1.26541139387349,0.723709692387757,0.168757223765304,0.196,3.1993750000000034,23.372727272727275,6.0776859504132235,0.4355371900826446,13.03801652892562,2.3611570247933886,3.4388429752066116,51.343801652892566,0.3890082644628099
7807,7.54,22.75,2.59,0.001,4.27,2.1,0.94,7.18,0.04,0.03,1.5,10,2,15,7.5,81.52,13.1000006055832,54.21,122.65,22.08,3,0.993158674740418,1.43399679461169,-0.0830467547075315,0.19120000000000437,3.2037499999999994,23.300000000000068,6.090909090909079,0.4381818181818158,13.003636363636394,2.3545454545454607,3.4454545454545396,51.43636363636355,0.3878181818181829
7807.6,9.3,26.3,3.37,0.5,4.1,2.49,0.89,6.51,0.03,0.02,1.5,10,2,15,7.5,81.68,13.1,55.4,119.62,17.1,3,1.32880687810062,1.45276587659541,0.0707494375191214,0.18693877551020385,3.2103125000000032,23.19090909090909,6.110743801652893,0.4421487603305785,12.952066115702479,2.344628099173554,3.4553719008264463,51.57520661157025,0.38603305785123965
7808,9.98,26.13,2.87,0.001,4.38,1.73,1.13,6.31,0.04,0.02,1.5,10,2,15,7.5,82.3,18.15,58.33,119.13,22.38,3,1.2692571159975,1.59165959851573,0.00934031509211218,0.18448979591836917,3.2146874999999993,23.118181818181885,6.123966942148749,0.4447933884297497,12.917685950413254,2.338016528925626,3.461983471074374,51.66776859504124,0.38484297520661265
7808.6,8.21,24.86,2.46,0.001,4.1,1.49,1.18,6.98,0.04,0.02,1.5,10,2,15,7.5,81.45,20.675,51.87,119.14,17.25,3,1.02251121321547,1.49443908325269,0.169467314351439,0.18081632653061155,3.221250000000003,23.00909090909091,6.143801652892562,0.4487603305785124,12.86611570247934,2.3280991735537193,3.471900826446281,51.80661157024794,0.3830578512396694
7809,8.85,25.54,2.79,0.001,4.46,2.23,1.1,5.21,0.03,0.02,1.5,10,2,15,7.5,79.25,21.9375,60.55,128.82,18.29,3,1.23058077680574,1.69855343142515,-0.124529468105999,0.17836734693877687,3.225624999999999,22.936363636363705,6.157024793388418,0.45140495867768354,12.831735537190113,2.3214876033057914,3.478512396694209,51.899173553718924,0.3818677685950424
7809.6,8.98,25.75,2.95,0.48,4.22,2.24,1.19,5.03,0.04,0.02,1.5,10,2,15,7.5,7.5,22.56875,57.69,122.32,5,3,1.13612458013611,1.63623335642141,0.355891901719164,0.17469387755101928,3.232187500000003,22.827272727272728,6.176859504132231,0.4553719008264463,12.780165289256198,2.3115702479338847,3.4884297520661156,52.038016528925624,0.38008264462809915
