Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC (wt.%),Porosity,Quartz,Plagioclase,K_Feldspar,Calcite,Dolomite_Fe_Dolomite,Pyrite,Total_Clay,MBI
7884,6.02,20.62,2.3,0.44,2.86,1.49,0.61,13.18,0.04,0.02,1.5,10,2,15,7.5,88.16,24.96,44.23,104.29,17.57,3,0.430259093239337,1.49153993301005,0.0402389385190779,2.202,7.041298701298707,25.983333333333366,4.481111111111073,0.5177777777777818,30.248888888888946,0.32888888888887274,3.3055555555555456,35.23444444444442,0.5735555555555564
7884.6,6.02,20.62,2.3,0.44,2.86,1.49,0.61,13.18,0.04,0.02,1.5,10,2,15,7.5,88.16,24.96,44.23,104.29,17.57,3,0.430259093239337,1.49153993301005,0.0402389385190779,2.1875999999999913,7.07870129870133,25.933333333333334,4.544444444444444,0.5111111111111111,30.155555555555555,0.35555555555555557,3.3222222222222224,35.27777777777778,0.5722222222222222
7885,7.48,25.82,2.27,0.001,3.15,1.62,0.61,9.44,0.04,0.02,1.5,10,2,15,7.5,119.15,21.175,48.9,112.61,5,3,0.858863749427825,1.38787124349582,0.431566396593832,2.178,7.103636363636374,25.90000000000003,4.586666666666629,0.5066666666666707,30.09333333333339,0.3733333333333172,3.3333333333333233,35.306666666666644,0.5713333333333341
7885.6,7.48,25.82,2.27,0.001,3.15,1.62,0.61,9.44,0.04,0.02,1.5,10,2,15,7.5,119.15,21.175,48.9,112.61,5,3,0.858863749427825,1.38787124349582,0.431566396593832,2.1635999999999913,7.141038961038996,25.85,4.65,0.5,30,0.4,3.35,35.35,0.5700000000000001
7886,6.56,21.36,2.01,0.001,3.45,3.12,1.11,13.58,0.04,0.02,1.5,10,2,77.22,7.5,36.66,19.2825,41.6,90.33,46.11,3,0.183233852991691,1.45215282434708,-1.40690035130695,2.154,7.16597402597404,25.8166666666667,4.692222222222184,0.4955555555555596,29.937777777777836,0.41777777777776165,3.361111111111101,35.378888888888866,0.5691111111111119
7886.6,6.56,21.36,2.01,0.001,3.45,3.12,1.11,13.58,0.04,0.02,1.5,10,2,77.22,7.5,36.66,19.2825,41.6,90.33,46.11,3,0.183233852991691,1.45215282434708,-1.40690035130695,2.1395999999999913,7.203376623376663,25.76666666666667,4.7555555555555555,0.4888888888888889,29.844444444444445,0.4444444444444445,3.3777777777777778,35.422222222222224,0.5677777777777778
7887,5.59,22.7,1.91,0.001,2.4,0.97,0.49,13.42,0.05,0.02,1.5,10,2,15,7.5,78.58,18.33625,40.17,96.15,19.53,3,0.297601311419225,1.33446298761009,0.244444303092493,2.13,7.228311688311706,25.733333333333366,4.797777777777739,0.4844444444444485,29.78222222222228,0.46222222222220605,3.3888888888888786,35.45111111111109,0.5668888888888897
7887.6,5.59,22.7,1.91,0.001,2.4,0.97,0.49,13.42,0.05,0.02,1.5,10,2,15,7.5,78.58,18.33625,40.17,96.15,19.53,3,0.297601311419225,1.33446298761009,0.244444303092493,2.1852000000000333,7.265714285714329,25.683333333333334,4.861111111111111,0.47777777777777775,29.68888888888889,0.48888888888888893,3.405555555555556,35.49444444444445,0.5655555555555556
7888,7.45,24.8,2.31,0.001,3.65,1.84,0.92,8.16,0.03,0.02,1.5,10,2,15,43.09,71.71,17.39,47.4,95.52,45.95,3,0.619574997737846,1.40129995077617,-1.03859013017183,2.222,7.290649350649373,25.65000000000003,4.903333333333295,0.4733333333333374,29.626666666666722,0.5066666666666505,3.4166666666666567,35.523333333333305,0.5646666666666675
7888.6,7.45,24.8,2.31,0.001,3.65,1.84,0.92,8.16,0.03,0.02,1.5,10,2,15,43.09,71.71,17.39,47.4,95.52,45.95,3,0.619574997737846,1.40129995077617,-1.03859013017183,2.2772000000000334,7.3,25.6,4.966666666666667,0.4666666666666667,29.533333333333335,0.5333333333333333,3.4333333333333336,35.56666666666667,0.5633333333333334
