"Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation","Core","chemofacies","Al_ppm","K/Al","Mg/Al","Rb/Al","Si/Al","Ti/Al","Zr/Al","Si/Ti","Cu/Al","Fe/Al","Ni/Al","Mo/Al","S/Al","U/Al","Zn/Al","Si/Ca","SGR","Sr/Ca","V/Al","Depth_ft","Factor1","Factor2","Factor3"
7799.6,8.94,25.62,2.67,0.44,4.31,2.39,1.17,5.94,0.03,0.02,1.5,10,2,15,7.5,93.41,13.109921875,58.44,125.64,27.59,3,"Utica FM","Washinton",3,89400,0.3,0.13,0.00065,2.9,0.049,0.0014,58,8.4e-05,0.48,0.00017,1.7e-05,0.27,2.2e-05,0.001,4.3,111.1596875,0.0051,0.00011,7799.6,1.23607319968603,1.38397559366312,-0.205462336886969
7800,7.45,21.73,2.41,0.001,4.12,2.39,0.3,4.64,0.03,0.02,1.5,10,2,15,7.5,75.04,13.1049609375,69.23,115,10.64,3,"Utica FM","Washinton",3,74500,0.32,0.04,0.00093,2.9,0.00013,0.0015,22000,1e-04,0.55,2e-04,2e-05,0.32,2.7e-05,0.001,4.7,106.97984375,0.0065,0.00013,7800,0.974920021519157,1.51078755268401,0.128880911367977
7800.6,3.6,9.77,0.55,0.001,3.14,1.18,0.78,31.09,0.07,0.02,1.5,10,2,15,7.5,80.24,13.10248046875,33.14,72.78,17.68,3,"Utica FM","Washinton",4,36000,0.15,0.22,0.00092,2.7,0.00028,0.002,9800,0.00021,0.87,0.00042,4.2e-05,0.33,5.6e-05,0.0022,0.31,77.209921875,0.0023,0.00028,7800.6,-0.55283250619089,1.08948690784434,-0.0287306669828726
7801,9.39,25.78,2.92,0.001,4.62,2.32,1.36,4.28,0.03,0.04,1.5,10,2,15,7.5,7.5,13.101240234375,61.1,134.95,5,3,"Utica FM","Washinton",3,93900,0.31,0.14,0.00065,2.7,0.00011,0.0014,26000,8e-05,0.49,0.00016,1.6e-05,0.25,2.1e-05,8e-05,6,115.1249609375,0.007,0.00011,7801,1.37416455130359,1.48082319900122,0.482886968073009
7801.6,9.39,25.78,2.92,0.001,4.62,2.32,1.36,4.28,0.03,0.04,1.5,10,2,15,7.5,7.5,13.101240234375,61.1,134.95,5,3,"Utica FM","Washinton",3,93900,0.31,0.14,0.00065,2.7,0.00011,0.0014,26000,8e-05,0.49,0.00016,1.6e-05,0.25,2.1e-05,8e-05,6,115.1249609375,0.007,0.00011,7801.6,1.37416455130359,1.48082319900122,0.482886968073009
7802,9.52,25.33,2.75,0.001,2.52,2.27,1.18,15.33,0.1,0.02,1.5,10,2,15,7.5,38.4,13.1006201171875,19.66,54.49,5,3,"Utica FM","Washinton",3,95200,0.29,0.12,0.00021,2.7,0.00011,0.00057,25000,7.9e-05,0.26,0.00016,1.6e-05,0.24,2.1e-05,4e-04,1.7,112.40248046875,0.0065,0.00011,7802,0.439624635210112,1.44911646630181,0.17090987079661
7802.6,8.17,23.44,2.69,0.001,4.08,1,1.16,7.15,0.04,0.02,1.5,10,2,15,7.5,74.29,13.1003100585937,52.63,121.84,15.23,3,"Utica FM","Washinton",3,81700,0.33,0.14,0.00064,2.9,0.00012,0.0015,23000,9.2e-05,0.5,0.00018,1.8e-05,0.12,2.4e-05,0.00091,3.3,111.441240234375,0.0056,0.00012,7802.6,1.11975322740378,1.24341241463744,0.597806894364149
7803,9.15,26.1,2.86,0.001,4.4,1.89,1.06,4.79,0.03,0.02,1.5,10,2,15,38.55,91.23,13.1001550292969,60.74,126.7,17.87,3,"Utica FM","Washinton",3,91500,0.31,0.12,0.00066,2.9,0.00011,0.0014,26000,0.00042,0.48,0.00016,1.6e-05,0.21,2.2e-05,0.001,5.4,114.160620117188,0.0063,0.00011,7803,1.32035298216085,1.13713713060443,0.0206177645353896
7803.6,6.44,21.57,2.27,0.44,3.73,1.54,0.8,9.13,0.05,0.02,1.5,10,2,15,7.5,7.5,13.1000775146484,45.46,147.85,5,3,"Utica FM","Washinton",3,64400,0.35,0.12,0.00071,3.3,0.068,0.0023,49,0.00012,0.58,0.00023,2.3e-05,0.24,3.1e-05,0.00012,2.4,104.720310058594,0.0055,0.00016,7803.6,0.757720509652183,1.17392075676746,0.791433452510099
7804,9.09,24.79,2.83,0.001,4.41,1.4,1.34,6.23,0.03,0.02,1.5,10,2,15,7.5,93.06,13.1000387573242,57.1,122.51,5,3,"Utica FM","Washinton",3,90900,0.31,0.15,0.00063,2.7,0.00011,0.0013,25000,8.3e-05,0.49,0.00017,1.7e-05,0.15,2.2e-05,0.001,4,113.680155029297,0.0048,0.00011,7804,1.39527742394644,1.21484494641719,0.765402647385529
7804.6,2.63,7.16,0.61,0.001,2.01,0.81,0.92,35.52,0.1,0.02,1.5,10,2,15,7.5,34.82,13.1000193786621,11.58,37.5,12.38,5,"Utica FM","Washinton",4,26300,0.23,0.35,0.00044,2.7,0.00038,0.0014,7200,0.00029,0.76,0.00057,5.7e-05,0.31,7.6e-05,0.0013,0.2,78.1600775146484,0.0028,0.00038,7804.6,-1.1042131948866,1.04480724095808,0.152685032753098
7805,4.62,13.8,1.21,0.001,2.89,1.39,1.05,24.51,0.07,0.02,1.5,10,2,15,7.5,50.57,13.1000096893311,27.71,70.96,17.67,3,"Utica FM","Washinton",3,46200,0.26,0.23,6e-04,3,0.00022,0.0015,14000,0.00016,0.63,0.00032,3.2e-05,0.3,4.3e-05,0.0011,0.56,87.7600387573244,0.0029,0.00022,7805,-0.282043284471602,1.19519805788067,0.00118453412208465
7805.6,8.2,23.58,2.91,0.001,4.33,0.93,0.85,5.55,0.04,0.08,1.5,10,2,15,7.5,7.5,13.1000048446655,61.76,118.91,5,3,"Utica FM","Washinton",3,82000,0.35,0.1,0.00075,2.9,0.00012,0.0015,24000,9.1e-05,0.53,0.00018,1.8e-05,0.11,2.4e-05,9.1e-05,4.2,114.960019378662,0.0072,0.00012,7805.6,1.09517823122855,1.34118945767112,0.909114476333602
7806,7.24,24.46,2.12,0.001,3.57,1.47,0.75,9.92,0.05,0.02,1.5,10,2,15,7.5,65.33,13.1000024223328,45.45,126.71,13.77,3,"Utica FM","Washinton",3,72400,0.29,0.1,0.00063,3.4,0.00014,0.0018,24000,1e-04,0.49,0.00021,2.1e-05,0.2,2.8e-05,9e-04,2.5,102.320009689331,0.005,0.00014,7806,0.790296678774166,1.26302304067983,0.423988155656454
7806.6,2.4,6.78,0.62,0.001,1.78,0.52,0.3,35.81,0.09,0.02,1.5,10,2,15,50.4,22.95,13.1000012111664,11.85,30.8,5,5,"Utica FM","Washinton",4,24000,0.26,0.12,0.00049,2.8,0.00042,0.0013,6800,0.0021,0.74,0.00062,6.2e-05,0.22,8.3e-05,0.00096,0.19,78.3200048446656,0.0025,0.00042,7806.6,-1.26541139387349,0.723709692387757,0.168757223765304
7807,7.54,22.75,2.59,0.001,4.27,2.1,0.94,7.18,0.04,0.03,1.5,10,2,15,7.5,81.52,13.1000006055832,54.21,122.65,22.08,3,"Utica FM","Washinton",3,75400,0.34,0.12,0.00072,3,0.00013,0.0016,23000,9.9e-05,0.57,2e-04,2e-05,0.28,2.7e-05,0.0011,3.2,109.840002422333,0.0056,0.00013,7807,0.993158674740418,1.43399679461169,-0.0830467547075315
7807.6,9.3,26.3,3.37,0.5,4.1,2.49,0.89,6.51,0.03,0.02,1.5,10,2,15,7.5,81.68,13.1,55.4,119.62,17.1,3,"Utica FM","Washinton",3,93000,0.36,0.096,6e-04,2.8,0.054,0.0013,53,8.1e-05,0.44,0.00016,1.6e-05,0.27,2.2e-05,0.00088,4,122.32,0.0046,0.00011,7807.6,1.32880687810062,1.45276587659541,0.0707494375191214
7808,9.98,26.13,2.87,0.001,4.38,1.73,1.13,6.31,0.04,0.02,1.5,10,2,15,7.5,82.3,18.15,58.33,119.13,22.38,3,"Utica FM","Washinton",3,99800,0.29,0.11,0.00058,2.6,1e-04,0.0012,26000,7.5e-05,0.44,0.00015,1.5e-05,0.17,2e-05,0.00082,4.1,134.52,0.0063,1e-04,7808,1.2692571159975,1.59165959851573,0.00934031509211218
7808.6,8.21,24.86,2.46,0.001,4.1,1.49,1.18,6.98,0.04,0.02,1.5,10,2,15,7.5,81.45,20.675,51.87,119.14,17.25,3,"Utica FM","Washinton",3,82100,0.3,0.14,0.00063,3,0.00012,0.0015,25000,9.1e-05,0.5,0.00018,1.8e-05,0.18,2.4e-05,0.00099,3.6,138.06,0.0057,0.00012,7808.6,1.02251121321547,1.49443908325269,0.169467314351439
7809,8.85,25.54,2.79,0.001,4.46,2.23,1.1,5.21,0.03,0.02,1.5,10,2,15,7.5,79.25,21.9375,60.55,128.82,18.29,3,"Utica FM","Washinton",3,88500,0.32,0.12,0.00068,2.9,0.00011,0.0015,26000,8.5e-05,0.5,0.00017,1.7e-05,0.25,2.3e-05,9e-04,4.9,148.39,0.0058,0.00011,7809,1.23058077680574,1.69855343142515,-0.124529468105999
7809.6,8.98,25.75,2.95,0.48,4.22,2.24,1.19,5.03,0.04,0.02,1.5,10,2,15,7.5,7.5,22.56875,57.69,122.32,5,3,"Utica FM","Washinton",3,89800,0.33,0.13,0.00064,2.9,0.053,0.0014,54,8.4e-05,0.47,0.00017,1.7e-05,0.25,2.2e-05,8.4e-05,5.1,153.475,0.008,0.00011,7809.6,1.13612458013611,1.63623335642141,0.355891901719164
7810,8.65,24.62,2.74,0.001,4.5,2.99,0.89,5.45,0.03,0.02,1.5,10,2,15,7.5,7.5,22.884375,58.52,139.04,5,3,"Utica FM","Washinton",3,86500,0.32,0.1,0.00068,2.8,0.00012,0.0016,25000,8.7e-05,0.52,0.00017,1.7e-05,0.35,2.3e-05,8.7e-05,4.5,151.3775,0.0055,0.00012,7810,1.10178168144261,1.88662112991792,-0.0308027071985696
